22d96bd6-4c1e-4d20-8c76-0cb92e3fe926|Xan|Ricketts|0d037a5d-827a-44dd-8b70-57603d671d5d|79|217|40|JR|F|Sandy, UT
242744d5-6bca-4b22-a43c-c43d058bf76e|Delon|Wright|0d037a5d-827a-44dd-8b70-57603d671d5d|77|180|55|JR|G|Lawndale, CA
2fd206ae-9cfe-4b8f-bcf7-f2bb5ee4c4c7|Jeremy|Olsen|0d037a5d-827a-44dd-8b70-57603d671d5d|82|228|41|SO|F|Lawrenceville, GA
49b7e1dd-5298-4167-8bed-7c43dd1c77dc|Parker|Van Dyke|0d037a5d-827a-44dd-8b70-57603d671d5d|75|170|5|FR|G|Salt Lake City, UT
5aae3032-ce69-4cfc-8291-a0fb54c25ea3|Marko|Kovacevic|0d037a5d-827a-44dd-8b70-57603d671d5d|83|235|1|JR|F|Belgrade, Serbia
5ae0ead6-65ca-4ad2-af95-55ba43ddc170|Connor|Van Brocklin|0d037a5d-827a-44dd-8b70-57603d671d5d|77|195|0|JR|G|Fruit Heights, UT
6f7bd4eb-551a-4865-bfed-1f2ff5adaeec|Renan|Lenz|0d037a5d-827a-44dd-8b70-57603d671d5d|81|221|10|SR|F|Santo Angelo, Brazil
8dfc4920-2559-4381-bb15-7ac960b2765d|Princeton|Onwas|0d037a5d-827a-44dd-8b70-57603d671d5d|77|210|3|JR|F-G|Katy, TX
95c21f18-2bb4-46e5-85c1-a044d98d8e0c|Ahmad|Fields|0d037a5d-827a-44dd-8b70-57603d671d5d|77|190|13|FR|G|Washington, D.C.
a72fdff9-ae8e-4794-8049-981a7ecdb584|Dakarai|Tucker|0d037a5d-827a-44dd-8b70-57603d671d5d|77|187|14|SO|G-F|Gardena, CA
c1d7c214-ec61-4620-971d-11a517efc555|Jordan|Loveridge|0d037a5d-827a-44dd-8b70-57603d671d5d|78|230|21|SO|F|West Jordan, UT
c6007dac-d1b0-4172-bb50-110c03fec819|Brandon|Taylor|0d037a5d-827a-44dd-8b70-57603d671d5d|70|162|11|SO|G|Los Angeles, CA
c707835b-2fe7-446a-a041-a3cdcdd3cfaf|Kenneth|Ogbe|0d037a5d-827a-44dd-8b70-57603d671d5d|78|190|25|FR|G|Ehingen, Germany
e7f6c2e2-b65c-4fe5-943d-bb5a0145c9bc|Dallin|Bachynski|0d037a5d-827a-44dd-8b70-57603d671d5d|84|248|31|JR|C|Calgary, Canada
07a77396-a52c-41db-b664-cc2f4e74e358|Ben|Carter|1da70895-f77f-44ef-b216-d63c02e696eb|80|219|32|SO|F|Las Vegas, NV
0e06babd-3803-430c-80aa-a7c91c13954f|Elgin|Cook|1da70895-f77f-44ef-b216-d63c02e696eb|78|195|23|SO|F|Milwaukee, WI
71cda45d-3fd4-49c9-9a7f-0222082bfdba|Richard|Amardi|1da70895-f77f-44ef-b216-d63c02e696eb|81|215|13|SR|F|Scarborough, Canada
9621aec6-cec4-462a-9d80-b2b35ea1037a|Arik|Armstead|1da70895-f77f-44ef-b216-d63c02e696eb|80|280|2|FR|F|Sacramento, CA
9e34009f-f917-45d3-8e7f-7db036b616a5|Nicholas|Lucenti|1da70895-f77f-44ef-b216-d63c02e696eb|74|197|4|SR|G|Los Angeles, CA
a4ebbded-8142-4681-8e8d-b236fe90126a|Dominic|Artis|1da70895-f77f-44ef-b216-d63c02e696eb|73|185|1|SO|G|San Francisco, CA
a65f46b4-e8f8-4ed2-aec8-426507683561|Waverly|Austin|1da70895-f77f-44ef-b216-d63c02e696eb|83|270|20|SR|C|Fredricksburg, VA
